timestamp,eye_aspect_ratio,blink_indicator,mouth_open_ratio,head_tilt_angle,face_motion_delta,hand_velocity,hand_acceleration,gesture_activity_score,idle_time_ratio,rolling_mean_ear,rolling_std_ear,rolling_mean_velocity,rolling_std_velocity,motion_entropy,label
1777075212.6728663,0.0,0,0.0,0.0,0.0,0.0,0.0,127.3915,1.0,0.0,0.0,0.0,0.0,-0.0,Focused
1777075212.892093,0.0,0,0.0,0.0,0.0,13.074,130.398,80.3254,0.5,0.0,0.0,39.136,60.474,0.5623,Focused
1777075213.074948,0.0,0,0.0,0.0,0.0,121.315,114.452,145.3404,0.3333,0.0,0.0,47.454,60.564,0.6365,Focused
1777075213.259745,0.0,0,0.0,0.0,0.0,0.0,11.774,0.0,0.375,0.0,0.0,37.062,55.531,0.7356,Focused
1777075213.4592624,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,29.65,51.833,0.639,Focused
1777075213.6463509,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833,0.0,0.0,24.708,48.59,0.5661,Focused
1777075213.851826,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6429,0.0,0.0,21.178,45.809,0.5091,Focused
1777075214.0527737,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,18.531,43.419,0.4634,Focused
1777075214.2217977,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7222,0.0,0.0,16.472,41.348,0.4258,Focused
1777075214.4137626,0.35611,0,0.00767,8.575,0.0,0.0,0.0,0.0,0.75,0.01781,0.07761,14.825,39.536,0.3944,Focused
1777075214.596733,0.35059,0,0.00149,5.433,24.895,0.0,0.0,0.0,0.7727,0.04586,0.11577,13.477,37.937,0.3676,Distracted
1777075214.7995858,0.38063,0,0.001,0.875,6.468,0.0,0.0,0.0,0.7917,0.07341,0.14364,12.354,36.512,0.3446,Focused
1777075215.0122893,0.36627,0,0.00379,-1.973,0.538,0.0,0.0,0.0,0.8077,0.09589,0.15845,11.404,35.234,0.3245,Focused
1777075215.217229,0.3153,0,0.00068,-5.051,6.093,0.0,0.0,0.0,0.8214,0.11257,0.16416,10.589,34.079,0.3068,Focused
