timestamp,eye_aspect_ratio,blink_indicator,mouth_open_ratio,head_tilt_angle,face_motion_delta,hand_velocity,hand_acceleration,gesture_activity_score,idle_time_ratio,rolling_mean_ear,rolling_std_ear,rolling_mean_velocity,rolling_std_velocity,motion_entropy,label
1777007564.1006823,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,Focused
1777007564.2760859,0.40881,0,0.00211,9.394,3.357,0.0,0.0,0.0,1.0,0.20666,0.20669,0.0,0.0,-0.0,Focused
1777007564.4338286,0.41205,0,0.01834,3.257,8.668,0.0,0.0,0.0,1.0,0.28009,0.19833,0.0,0.0,-0.0,Focused
1777007564.597543,0.44222,0,0.01555,-0.839,6.698,0.0,0.0,0.0,1.0,0.31928,0.18471,0.0,0.0,-0.0,Focused
1777007564.7865505,0.42238,0,0.02628,-1.301,13.721,0.0,0.0,0.0,1.0,0.34338,0.17227,0.0,0.0,-0.0,Distracted
1777007564.95723,0.45095,0,0.02587,-0.672,6.701,0.0,0.0,0.0,1.0,0.36104,0.16214,0.0,0.0,-0.0,Focused
1777007565.1402938,0.44369,0,0.00892,0.961,0.891,0.0,0.0,0.0,1.0,0.37256,0.15275,0.0,0.0,-0.0,Focused
1777007565.3116906,0.43572,0,0.0196,1.926,0.548,0.0,0.0,0.0,1.0,0.38062,0.14447,0.0,0.0,-0.0,Focused
1777007566.4938757,0.43979,0,0.00965,2.074,6.119,0.0,0.0,0.0,1.0,0.3861,0.13712,0.0,0.0,-0.0,Focused
1777007566.667701,0.40608,0,0.0302,5.537,2.545,0.0,0.0,0.0,1.0,0.38842,0.13028,0.0,0.0,-0.0,Focused
1777007566.83764,0.41644,0,0.02744,5.685,3.761,0.0,0.0,0.0,1.0,0.39054,0.1244,0.0,0.0,-0.0,Focused
1777007567.0235727,0.43171,0,0.03377,5.787,4.6,0.0,0.0,0.0,1.0,0.39346,0.11951,0.0,0.0,-0.0,Focused
1777007567.203958,0.42294,0,0.0234,5.295,3.921,0.0,0.0,0.0,1.0,0.39563,0.11507,0.0,0.0,-0.0,Focused
1777007567.3908954,0.39936,0,0.01447,5.354,0.907,0.0,0.0,0.0,1.0,0.39616,0.11091,0.0,0.0,-0.0,Focused
1777007567.5747426,0.42994,0,0.00993,5.81,2.009,0.0,0.0,0.0,1.0,0.39786,0.10735,0.0,0.0,-0.0,Focused
1777007567.7467136,0.41072,0,0.00908,5.536,2.666,0.0,0.0,0.0,1.0,0.42587,0.01505,0.0,0.0,-0.0,Focused
1777007567.9478261,0.43453,0,0.00318,5.39,7.817,0.0,0.0,0.0,1.0,0.4268,0.01475,0.0,0.0,-0.0,Focused
1777007568.1159372,0.38369,0,0.00801,4.988,3.295,0.0,0.0,0.0,1.0,0.42397,0.01772,0.0,0.0,-0.0,Focused
1777007568.3011541,0.3764,0,0.00846,5.757,2.878,0.0,0.0,0.0,1.0,0.42031,0.02018,0.0,0.0,-0.0,Focused
1777007568.470334,0.38321,0,0.00747,6.386,1.552,0.0,0.0,0.0,1.0,0.41645,0.0211,0.0,0.0,-0.0,Focused
1777007568.6578524,0.38618,0,0.00907,5.263,1.756,0.0,0.0,0.0,1.0,0.41206,0.02067,0.0,0.0,-0.0,Focused
1777007568.8258603,0.37332,0,0.00694,5.261,1.04,0.0,0.0,0.0,1.0,0.40771,0.02085,0.0,0.0,-0.0,Focused
1777007569.0090601,0.38172,0,0.00421,5.167,2.873,0.0,0.0,0.0,1.0,0.40401,0.02023,0.0,0.0,-0.0,Focused
1777007569.193086,0.39814,0,0.01183,5.084,7.974,0.0,0.0,0.0,1.0,0.40174,0.01891,0.0,0.0,-0.0,Focused
1777007569.3801548,0.34397,0,0.0072,4.676,1.774,0.0,0.0,0.0,1.0,0.39904,0.02143,0.0,0.0,-0.0,Focused
1777007569.548615,0.32316,0,0.00365,4.929,0.576,0.0,0.0,0.0,1.0,0.39326,0.02792,0.0,0.0,-0.0,Focused
1777007569.7356584,0.32696,0,0.00522,5.022,0.45,0.0,0.0,0.0,1.0,0.38661,0.03108,0.0,0.0,-0.0,Focused
1777007569.9207253,0.33134,0,0.0064,5.2,0.483,0.0,0.0,0.0,1.0,0.38054,0.0325,0.0,0.0,-0.0,Focused
1777007570.1072955,0.36271,0,0.00342,5.497,2.407,0.0,0.0,0.0,1.0,0.37723,0.03263,0.0,0.0,-0.0,Focused
1777007570.2895353,0.35652,0,0.00483,6.323,6.165,0.0,0.0,0.0,1.0,0.37274,0.03073,0.0,0.0,-0.0,Focused
1777007570.4597507,0.37701,0,0.00092,6.005,11.476,0.0,0.0,0.0,1.0,0.36935,0.02795,0.0,0.0,-0.0,Distracted
1777007570.645259,0.36952,0,0.00478,5.729,4.828,0.0,0.0,0.0,1.0,0.36579,0.02333,0.0,0.0,-0.0,Focused
1777007570.831556,0.37686,0,0.00363,5.709,0.943,0.0,0.0,0.0,1.0,0.36528,0.023,0.0,0.0,-0.0,Focused
1777007571.0128167,0.36491,0,0.00258,5.767,1.013,0.0,0.0,0.0,1.0,0.36447,0.0226,0.0,0.0,-0.0,Focused
1777007571.1817734,0.37492,0,0.00498,5.836,0.04,0.0,0.0,0.0,1.0,0.36384,0.02224,0.0,0.0,-0.0,Focused
1777007571.3676438,0.38281,0,0.00697,5.713,1.388,0.0,0.0,0.0,1.0,0.36374,0.02215,0.0,0.0,-0.0,Focused
1777007571.5517025,0.38329,0,0.00848,5.038,3.358,0.0,0.0,0.0,1.0,0.36446,0.02272,0.0,0.0,-0.0,Focused
1777007571.737134,0.37358,0,0.00382,5.087,3.455,0.0,0.0,0.0,1.0,0.36411,0.02251,0.0,0.0,-0.0,Focused
1777007571.920148,0.38906,0,0.00479,5.195,1.487,0.0,0.0,0.0,1.0,0.36342,0.02167,0.0,0.0,-0.0,Focused
1777007572.08753,0.3932,0,0.00657,5.283,0.787,0.0,0.0,0.0,1.0,0.36499,0.02191,0.0,0.0,-0.0,Focused
1777007572.274848,0.39589,0,0.0048,4.839,1.387,0.0,0.0,0.0,1.0,0.36955,0.02016,0.0,0.0,-0.0,Focused
1777007572.456201,0.39684,0,0.00767,4.765,0.669,0.0,0.0,0.0,1.0,0.37422,0.01742,0.0,0.0,-0.0,Focused
1777007572.6409664,0.39497,0,0.00322,5.011,1.343,0.0,0.0,0.0,1.0,0.37849,0.01367,0.0,0.0,-0.0,Focused
1777007572.8241456,0.39768,0,0.00338,4.849,0.153,0.0,0.0,0.0,1.0,0.38131,0.0123,0.0,0.0,-0.0,Focused
1777007572.978208,0.39416,0,0.00386,4.785,0.898,0.0,0.0,0.0,1.0,0.38411,0.01046,0.0,0.0,-0.0,Focused
1777007573.163251,0.37776,0,0.00412,4.781,0.695,0.0,0.0,0.0,1.0,0.38518,0.00968,0.0,0.0,-0.0,Focused
1777007573.3476088,0.37093,0,0.00427,4.827,0.172,0.0,0.0,0.0,1.0,0.38494,0.00994,0.0,0.0,-0.0,Focused
1777007573.5330863,0.36218,0,0.00424,4.992,0.33,0.0,0.0,0.0,1.0,0.38431,0.01079,0.0,0.0,-0.0,Focused
1777007573.70014,0.36718,0,0.0056,5.495,0.915,0.0,0.0,0.0,1.0,0.38388,0.01144,0.0,0.0,-0.0,Focused
1777007573.8847055,0.38318,0,0.00618,5.043,3.465,0.0,0.0,0.0,1.0,0.38411,0.01138,0.0,0.0,-0.0,Focused
1777007574.0549624,0.40288,0,0.00255,5.036,3.599,0.0,0.0,0.0,1.0,0.38545,0.01219,0.0,0.0,-0.0,Focused
1777007574.2404559,0.38838,0,0.0024,4.517,6.5,0.0,0.0,0.0,1.0,0.38586,0.01238,0.0,0.0,-0.0,Focused
1777007574.4245815,0.40345,0,0.00368,5.603,4.67,0.0,0.0,0.0,1.0,0.38722,0.01247,0.0,0.0,-0.0,Focused
1777007574.6075542,0.40536,0,0.00385,5.3,0.697,0.0,0.0,0.0,1.0,0.38827,0.01295,0.0,0.0,-0.0,Focused
1777007574.793818,0.38919,0,0.00784,5.068,3.317,0.0,0.0,0.0,1.0,0.3882,0.01294,0.0,0.0,-0.0,Focused
1777007574.9791298,0.37722,0,0.00771,4.515,1.926,0.0,0.0,0.0,1.0,0.3875,0.01299,0.0,0.0,-0.0,Focused
1777007575.1491892,0.39172,0,0.00289,4.461,0.168,26.965,26.965,150.7065,0.9667,0.38712,0.01283,0.899,4.84,0.1461,Distracted
1777007575.3317437,0.39027,0,0.00225,4.536,3.315,32.414,2.652,168.9703,0.9,0.38701,0.01279,3.148,9.505,0.3887,Distracted
1777007575.48596,0.38208,0,0.00207,2.974,1.91,1.724,11.481,176.3228,0.8667,0.38597,0.01268,3.646,9.637,0.5313,Focused
1777007575.670784,0.38194,0,0.00221,1.746,2.571,1.856,0.147,179.9346,0.8667,0.38489,0.01244,3.775,9.6,0.5313,Focused
1777007575.8411942,0.39515,0,0.00404,2.343,4.145,3.099,15.28,177.6801,0.8333,0.38528,0.01242,4.49,9.891,0.6726,Focused
1777007576.0223308,0.40264,0,0.00306,1.528,21.424,11.478,5.545,185.383,0.7667,0.38737,0.01235,5.071,9.891,0.9049,Distracted
1777007576.2109854,0.38833,0,0.00307,2.266,7.155,0.678,2.372,186.6374,0.7667,0.3891,0.01121,5.195,9.843,0.9049,Focused
1777007576.3785946,0.38355,0,0.00406,2.762,1.693,4.247,2.468,186.0284,0.7667,0.39093,0.00896,5.396,9.771,0.9958,Focused
1777007576.562075,0.38823,0,0.00916,2.539,2.662,7.548,5.98,186.1423,0.7333,0.39198,0.00787,5.7,9.699,1.1314,Focused
1777007576.7459636,0.39301,0,0.00215,2.855,5.425,14.282,12.957,184.4627,0.7,0.39162,0.00757,6.22,9.733,1.2654,Focused
1777007576.9177885,0.38534,0,0.01979,2.312,0.699,3.396,11.319,182.7038,0.6667,0.39141,0.00756,6.824,9.719,1.3515,Focused
1777007577.100067,0.39791,0,0.00581,1.396,2.916,4.008,21.245,179.9384,0.6333,0.39132,0.00732,7.799,10.099,1.501,Focused
1777007577.283824,0.40533,0,0.0074,2.078,0.644,6.386,5.442,180.0062,0.5667,0.39132,0.00732,8.406,9.908,1.6138,Focused
1777007577.434666,0.39727,0,0.0072,1.988,0.217,12.744,17.392,175.9934,0.5,0.39156,0.00738,9.836,10.382,1.7814,Focused
1777007577.5900307,0.3998,0,0.00501,2.09,0.492,8.132,2.712,177.2743,0.4333,0.39266,0.00708,10.287,10.094,1.8841,Focused
1777007577.7475152,0.40664,0,0.00638,2.407,1.442,15.694,7.138,172.3596,0.4,0.39381,0.00793,10.673,9.755,1.8931,Focused
1777007577.9324944,0.40886,0,0.01063,2.401,0.909,1.58,6.631,172.1055,0.4333,0.39512,0.00924,8.75,7.67,1.9128,Focused
1777007578.109112,0.40936,0,0.008,2.638,1.821,20.291,14.834,172.5172,0.4,0.3972,0.00912,9.11,7.822,1.9632,Focused
1777007578.273089,0.41938,0,0.00845,2.596,1.091,28.804,19.457,156.2968,0.3333,0.39962,0.00912,10.253,8.329,2.055,Distracted
1777007578.4456184,0.20772,1,0.00517,2.155,1.13,97.861,7.992,151.4445,0.3,0.39328,0.03567,16.328,24.27,1.1106,Distracted
1777007578.6148813,0.3992,0,0.0149,2.507,1.631,118.72,109.453,78.7929,0.3,0.3916,0.03631,20.014,30.368,1.1526,Distracted
