timestamp,eye_aspect_ratio,blink_indicator,mouth_open_ratio,head_tilt_angle,face_motion_delta,hand_velocity,hand_acceleration,gesture_activity_score,idle_time_ratio,rolling_mean_ear,rolling_std_ear,rolling_mean_velocity,rolling_std_velocity,motion_entropy,label
1777067005.489871,0.09772,1,0.00206,-2.664,4.783,0.0,0.0,0.0,1.0,0.22766,0.05881,0.0,0.0,-0.0,Focused
1777067005.723508,0.22143,0,0.00246,-3.075,7.707,0.0,0.0,0.0,1.0,0.22682,0.05891,0.0,0.0,-0.0,Focused
1777067005.9817302,0.25566,0,0.00207,-2.829,6.203,0.0,0.0,0.0,1.0,0.22785,0.05914,0.0,0.0,-0.0,Focused
1777067006.249939,0.24657,0,0.00211,-4.617,6.142,0.0,0.0,0.0,1.0,0.23547,0.05054,0.0,0.0,-0.0,Focused
1777067006.539975,0.26198,0,0.00308,-7.185,14.779,0.0,0.0,0.0,1.0,0.23721,0.05099,0.0,0.0,-0.0,Focused
1777067006.8171647,0.2752,0,0.00249,-7.586,1.885,0.0,0.0,0.0,1.0,0.23914,0.05169,0.0,0.0,-0.0,Focused
1777067007.0678408,0.28116,0,0.00185,-6.379,5.038,0.0,0.0,0.0,1.0,0.24124,0.05259,0.0,0.0,-0.0,Focused
1777067007.342478,0.27286,0,0.00186,-6.532,8.705,0.0,0.0,0.0,1.0,0.24144,0.05271,0.0,0.0,-0.0,Focused
1777067007.6258512,0.20877,1,0.00184,-6.343,9.538,0.0,0.0,0.0,1.0,0.23924,0.05266,0.0,0.0,-0.0,Focused
1777067007.8888707,0.27148,0,0.00139,-8.651,3.555,0.0,0.0,0.0,1.0,0.23898,0.05265,0.0,0.0,-0.0,Focused
1777067008.1689696,0.26754,0,0.00122,-10.198,6.207,0.0,0.0,0.0,1.0,0.25036,0.03538,0.0,0.0,-0.0,Focused
1777067008.4899275,0.27019,0,0.00196,-9.362,1.762,0.0,0.0,0.0,1.0,0.25244,0.03502,0.0,0.0,-0.0,Focused
1777067008.7107954,0.17136,1,0.00183,-5.705,7.44,0.0,0.0,0.0,1.0,0.24304,0.05236,0.0,0.0,-0.0,Focused
