timestamp,eye_aspect_ratio,blink_indicator,mouth_open_ratio,head_tilt_angle,face_motion_delta,hand_velocity,hand_acceleration,gesture_activity_score,idle_time_ratio,rolling_mean_ear,rolling_std_ear,rolling_mean_velocity,rolling_std_velocity,motion_entropy,label
1777077249.6646197,0.31496,0,0.04911,8.475,0.0,0.0,0.0,0.0,1.0,0.15748,0.15748,0.0,0.0,-0.0,Focused
1777077249.9718442,0.29915,0,0.0592,10.88,6.365,0.0,0.0,0.0,1.0,0.23411,0.13542,0.0,0.0,-0.0,Confused
1777077250.2682927,0.29886,0,0.04711,9.191,6.434,0.0,0.0,0.0,1.0,0.25617,0.11489,0.0,0.0,-0.0,Focused
1777077250.5324512,0.30022,0,0.05494,6.229,4.324,0.0,0.0,0.0,1.0,0.26704,0.10126,0.0,0.0,-0.0,Focused
1777077250.7986252,0.30029,0,0.04836,5.322,11.661,0.0,0.0,0.0,1.0,0.27493,0.09198,0.0,0.0,-0.0,Distracted
1777077251.0029414,0.33611,0,0.08,4.422,12.573,0.0,0.0,0.0,1.0,0.28334,0.08616,0.0,0.0,-0.0,Distracted
1777077251.1959448,0.27105,0,0.07672,2.493,7.172,69.349,69.349,230.0639,0.9286,0.28438,0.08015,4.953,17.86,0.2573,Distracted
1777077251.410635,0.24751,0,0.12074,4.174,26.092,57.262,0.06,257.1172,0.8125,0.28046,0.07571,11.496,24.057,0.6019,Distracted
1777077251.5926354,0.26076,0,0.09286,4.8,3.578,10.416,319.673,76.6602,0.7222,0.27818,0.07168,29.135,76.435,0.7608,Focused
1777077251.7805367,0.28613,0,0.08087,4.312,7.87,20.548,283.325,281.2283,0.65,0.27826,0.06803,42.443,94.121,0.8261,Focused
1777077251.980122,0.28748,0,0.06787,4.461,7.426,10.517,0.811,287.5365,0.5909,0.27853,0.0649,39.504,90.221,0.7757,Focused
1777077252.1638122,0.29406,0,0.04159,4.131,1.489,5.501,0.16,279.1471,0.5417,0.27962,0.06225,36.663,86.892,0.7315,Focused
