timestamp,eye_aspect_ratio,blink_indicator,mouth_open_ratio,head_tilt_angle,face_motion_delta,hand_velocity,hand_acceleration,gesture_activity_score,idle_time_ratio,rolling_mean_ear,rolling_std_ear,rolling_mean_velocity,rolling_std_velocity,motion_entropy,label
1777676907.8487244,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,Focused
1777676908.099802,0.3028,0,0.03183,6.658,8.982,0.0,0.0,0.0,1.0,0.14387,0.14426,0.0,0.0,-0.0,Focused
1777676908.3655767,0.2769,0,0.00933,7.016,3.352,0.0,0.0,0.0,1.0,0.18098,0.12956,0.0,0.0,-0.0,Focused
1777676908.6589842,0.28727,0,0.00848,6.719,4.392,0.0,0.0,0.0,1.0,0.20705,0.12095,0.0,0.0,-0.0,Focused
1777676908.9694948,0.30184,0,0.01488,6.946,0.816,0.0,0.0,0.0,1.0,0.22424,0.11358,0.0,0.0,-0.0,Focused
1777676909.2328057,0.33264,0,0.01348,7.278,3.199,0.0,0.0,0.0,1.0,0.23288,0.10797,0.0,0.0,-0.0,Focused
1777676909.4825206,0.39931,0,0.013,7.529,2.581,0.0,0.0,0.0,1.0,0.25531,0.11412,0.0,0.0,-0.0,Focused
1777676909.7288215,0.39533,0,0.01478,7.579,0.381,0.0,0.0,0.0,1.0,0.27288,0.11643,0.0,0.0,-0.0,Focused
1777676910.031135,0.39805,0,0.00904,7.57,0.279,0.0,0.0,0.0,1.0,0.28672,0.11654,0.0,0.0,-0.0,Focused
1777676910.308656,0.39589,0,0.01008,7.561,0.066,0.0,0.0,0.0,1.0,0.29758,0.11526,0.0,0.0,-0.0,Focused
1777676910.58672,0.36484,0,0.01492,8.041,0.248,0.0,0.0,0.0,1.0,0.29753,0.11178,0.0,0.0,-0.0,Focused
1777676910.9339457,0.39001,0,0.01024,7.635,0.501,0.0,0.0,0.0,1.0,0.30525,0.11004,0.0,0.0,-0.0,Focused
1777676911.243444,0.39348,0,0.00556,7.587,1.378,0.0,0.0,0.0,1.0,0.31204,0.10831,0.0,0.0,-0.0,Focused
1777676911.5369632,0.38426,0,0.00245,7.321,0.721,0.0,0.0,0.0,1.0,0.31751,0.10622,0.0,0.0,-0.0,Focused
1777676911.8146007,0.31178,0,0.00308,7.766,2.85,0.0,0.0,0.0,1.0,0.31755,0.10263,0.0,0.0,-0.0,Focused
1777676912.176625,0.29655,0,0.00257,7.616,0.304,0.0,0.0,0.0,1.0,0.33748,0.05862,0.0,0.0,-0.0,Focused
1777676912.5319755,0.29489,0,0.00303,7.603,0.458,0.0,0.0,0.0,1.0,0.33799,0.05809,0.0,0.0,-0.0,Focused
1777676912.87471,0.38978,0,0.00225,7.566,0.644,0.0,0.0,0.0,1.0,0.34383,0.05478,0.0,0.0,-0.0,Focused
1777676913.205082,0.38935,0,0.00106,7.752,2.388,0.0,0.0,0.0,1.0,0.35096,0.05364,0.0,0.0,-0.0,Focused
1777676913.5604033,0.17613,1,0.00385,7.237,1.38,0.0,0.0,0.0,1.0,0.35016,0.06089,0.0,0.0,-0.0,Stressed
1777676913.9586537,0.27664,0,0.00313,6.911,2.77,0.0,0.0,0.0,1.0,0.34984,0.05954,0.0,0.0,-0.0,Focused
1777676914.37211,0.32406,0,0.00293,8.056,4.145,0.0,0.0,0.0,1.0,0.34428,0.05955,0.0,0.0,-0.0,Focused
1777676914.8450985,0.30167,0,0.00125,8.632,4.449,0.0,0.0,0.0,1.0,0.3378,0.05888,0.0,0.0,-0.0,Focused
1777676915.2551765,0.2751,0,0.01259,7.576,3.712,0.0,0.0,0.0,1.0,0.3299,0.0583,0.0,0.0,-0.0,Focused
1777676915.6047237,0.27171,0,0.00525,7.789,3.533,0.0,0.0,0.0,1.0,0.32185,0.05704,0.0,0.0,-0.0,Focused
1777676915.934418,0.15502,1,0.00439,8.737,11.507,0.0,0.0,0.0,1.0,0.3161,0.06248,0.0,0.0,-0.0,Angry
1777676916.2437797,0.38993,0,0.00134,7.123,2.982,0.0,0.0,0.0,1.0,0.3157,0.06204,0.0,0.0,-0.0,Focused
1777676916.545637,0.39578,0,0.00707,6.62,2.302,0.0,0.0,0.0,1.0,0.31597,0.06239,0.0,0.0,-0.0,Focused
1777676916.8118181,0.28533,0,0.06312,7.602,16.321,0.0,0.0,0.0,1.0,0.30473,0.06566,0.0,0.0,-0.0,Distracted
1777676917.1156962,0.2419,0,0.04173,4.635,4.174,0.0,0.0,0.0,1.0,0.30176,0.06648,0.0,0.0,-0.0,Focused
1777676917.4088957,0.31814,0,0.01935,4.032,30.542,0.0,0.0,0.0,1.0,0.30076,0.06721,0.0,0.0,-0.0,Distracted
1777676917.6867032,0.33563,0,0.02388,2.808,0.0,0.0,0.0,0.0,1.0,0.29225,0.08659,0.0,0.0,-0.0,Focused
1777676918.014648,0.33894,0,0.01811,2.754,34.908,0.0,0.0,0.0,1.0,0.29138,0.08532,0.0,0.0,-0.0,Distracted
1777676918.3664498,0.30723,0,0.02208,3.892,5.692,0.0,0.0,0.0,1.0,0.28666,0.08156,0.0,0.0,-0.0,Focused
1777676918.7316575,0.3093,0,0.04775,3.913,16.685,0.0,0.0,0.0,1.0,0.2865,0.07735,0.0,0.0,-0.0,Distracted
1777676919.0468137,0.14712,1,0.09746,7.083,11.789,0.0,0.0,0.0,1.0,0.28553,0.08261,0.0,0.0,-0.0,Angry
1777676919.3377185,0.28623,0,0.01635,10.644,3.033,0.0,0.0,0.0,1.0,0.2777,0.08921,0.0,0.0,-0.0,Confused
