timestamp,eye_aspect_ratio,blink_indicator,mouth_open_ratio,head_tilt_angle,face_motion_delta,hand_velocity,hand_acceleration,gesture_activity_score,idle_time_ratio,rolling_mean_ear,rolling_std_ear,rolling_mean_velocity,rolling_std_velocity,motion_entropy,label
1777006472.8957021,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,Focused
1777006473.0492814,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,Focused
1777006473.2092738,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,Focused
1777006473.3918703,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,Focused
1777006473.5474334,0.0,0,0.0,0.0,0.0,2.376,2.376,84.7068,1.0,0.0,0.0,0.238,0.713,0.3251,Focused
1777006473.733391,0.0,0,0.0,0.0,0.0,2.405,0.558,87.5375,1.0,0.0,0.0,0.645,1.126,0.7215,Focused
1777006473.9041023,0.0,0,0.0,0.0,0.0,0.517,2.748,88.1599,1.0,0.0,0.0,0.823,1.244,1.0285,Focused
1777006474.089472,0.0,0,0.0,0.0,0.0,5.683,0.671,90.051,0.875,0.0,0.0,1.389,1.899,1.1602,Focused
1777006474.2727914,0.0,0,0.0,0.0,0.0,2.67,11.322,96.4975,0.8333,0.0,0.0,2.16,3.395,1.351,Focused
1777006474.4432948,0.0,0,0.0,0.0,0.0,12.565,8.862,106.6722,0.8,0.0,0.0,2.758,3.943,1.5149,Focused
1777006474.6269107,0.0,0,0.0,0.0,0.0,6.458,17.433,114.6814,0.7273,0.0,0.0,3.886,5.812,1.3135,Focused
1777006474.7967718,0.0,0,0.0,0.0,0.0,2.974,7.064,117.6384,0.7083,0.0,0.0,4.105,5.704,1.436,Focused
1777006474.9681494,0.0,0,0.0,0.0,0.0,3.752,2.821,117.1915,0.7308,0.0,0.0,3.969,5.514,1.4072,Focused
1777006475.136106,0.0,0,0.0,0.0,0.0,0.925,0.227,117.3527,0.75,0.0,0.0,3.76,5.367,1.359,Focused
1777006475.3063378,0.0,0,0.0,0.0,0.0,6.506,5.114,123.2848,0.7333,0.0,0.0,3.772,5.227,1.3621,Focused
1777006475.4947042,0.0,0,0.0,0.0,0.0,1.225,0.889,127.5351,0.7333,0.0,0.0,3.884,5.164,1.3621,Focused
1777006475.678506,0.0,0,0.0,0.0,0.0,0.72,9.362,125.3409,0.7,0.0,0.0,4.244,5.21,1.4383,Focused
1777006475.8459606,0.0,0,0.0,0.0,0.0,0.643,0.884,125.3966,0.7,0.0,0.0,4.316,5.159,1.4383,Focused
