timestamp,eye_aspect_ratio,blink_indicator,mouth_open_ratio,head_tilt_angle,face_motion_delta,hand_velocity,hand_acceleration,gesture_activity_score,idle_time_ratio,rolling_mean_ear,rolling_std_ear,rolling_mean_velocity,rolling_std_velocity,motion_entropy,label
1777074844.204113,0.31638,0,0.0017,4.065,0.0,0.0,0.0,0.0,1.0,0.15819,0.15819,0.0,0.0,-0.0,Focused
1777074844.3804693,0.29555,0,0.00028,4.642,1.087,0.0,0.0,0.0,1.0,0.22834,0.13205,0.0,0.0,-0.0,Focused
1777074844.5535412,0.29701,0,0.00087,4.265,2.883,0.0,0.0,0.0,1.0,0.25067,0.11235,0.0,0.0,-0.0,Focused
1777074844.72293,0.29944,0,0.00065,4.178,0.574,0.0,0.0,0.0,1.0,0.26273,0.09952,0.0,0.0,-0.0,Focused
1777074844.9044654,0.33224,0,0.0006,3.865,0.33,0.0,0.0,0.0,1.0,0.2769,0.09342,0.0,0.0,-0.0,Focused
1777074845.091172,0.31309,0,0.00052,3.697,4.411,0.0,0.0,0.0,1.0,0.28334,0.08649,0.0,0.0,-0.0,Focused
1777074845.2579782,0.31527,0,0.00117,3.067,7.941,0.0,0.0,0.0,1.0,0.28749,0.08072,0.0,0.0,-0.0,Focused
1777074845.4279451,0.30587,0,0.00143,1.475,12.404,0.0,0.0,0.0,1.0,0.2907,0.07603,0.0,0.0,-0.0,Distracted
1777074845.5827236,0.31297,0,0.00092,0.984,3.721,0.0,0.0,0.0,1.0,0.29265,0.07191,0.0,0.0,-0.0,Focused
1777074845.7685852,0.30731,0,0.00038,1.387,1.799,0.0,0.0,0.0,1.0,0.29425,0.06839,0.0,0.0,-0.0,Focused
1777074845.952389,0.29316,0,0.00216,2.57,3.109,0.0,0.0,0.0,1.0,0.2946,0.06523,0.0,0.0,-0.0,Focused
1777074846.1395767,0.30759,0,0.00208,1.964,1.221,0.0,0.0,0.0,1.0,0.29587,0.0626,0.0,0.0,-0.0,Focused
1777074846.325308,0.30433,0,0.00202,2.001,1.565,0.0,0.0,0.0,1.0,0.29683,0.06025,0.0,0.0,-0.0,Focused
1777074846.510059,0.30002,0,0.00076,1.67,4.845,0.0,0.0,219.7359,1.0,0.29706,0.05806,0.0,0.0,-0.0,Focused
1777074846.6945217,0.2922,0,0.00089,2.287,5.436,34.674,18.968,242.1989,0.9333,0.29665,0.05611,1.679,6.744,0.2911,Distracted
